,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9,18.081341361999513,2.703601174753153,0.8370242595672608,0.09869185748708807,True,120,sqrt,4,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 750)])",0.7553658521765196,0.7823763884275425,0.7652602972510958,0.7724657399680794,0.774033448732244,0.7699003453110962,0.00907851289757939,80
69,22.288593530654907,3.3054205508510255,0.9944438457489013,0.10321396606181125,True,,auto,4,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 1000)])",0.7556164982864919,0.7823234742487706,0.7657020926671582,0.772357126653758,0.7734596168331107,0.7698917617378579,0.008884723559358938,81
97,22.201383352279663,3.2750408601228265,1.022243118286133,0.11770173728920666,True,120,sqrt,4,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1000)])",0.7562096940800933,0.7810236589673584,0.7663821284766388,0.7723138332347627,0.7731850984863032,0.7698228826490313,0.008247719837366625,82
5,18.132069301605224,2.6965157871667547,0.8307824611663819,0.09830007404024063,True,,auto,4,4,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 750)])",0.756645666404712,0.7811689830755645,0.7661562937997748,0.772213321612885,0.7727276522457245,0.7697823834277321,0.00812355317017345,83
66,10.418677282333373,1.5185054398508733,0.4653784275054932,0.051730710007286414,True,100,auto,6,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 500)])",0.7561301962229908,0.7808593465174876,0.7659251423872446,0.7713659352188671,0.7742659670370514,0.7697093174767283,0.008325179881546229,84
99,22.291576385498047,3.3219659114538422,1.0104438304901122,0.11282575789645155,True,80,auto,4,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1000)])",0.7559043615461271,0.7812553167356661,0.765838808727143,0.7725295407960723,0.7728167125757488,0.7696689480761514,0.00844356749891565,85
1,10.082402801513672,1.4969855498351257,0.46792778968811033,0.058466431220510484,True,120,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.7555721921559414,0.7800182895706914,0.7650769964595604,0.77393037405514,0.7736367254439543,0.7696469155370576,0.00849486901540747,86
49,16.998548603057863,2.5552484055041496,0.7067685604095459,0.08666556089315988,True,100,auto,4,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 750)])",0.7548984857936824,0.7821472624381233,0.7659375481037989,0.7718527962991469,0.773208122605713,0.7696088430480928,0.009000834599607923,87
54,16.678474187850952,2.432759769469622,0.7455019474029541,0.078447067213556,True,120,auto,4,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 750)])",0.7561960224740949,0.7808975763787055,0.7655706933428394,0.7717044340562742,0.7733075564400866,0.7695352565384,0.008266689985231413,88
55,10.457264184951782,1.5821241843752911,0.47682628631591795,0.055566415393450946,True,100,sqrt,6,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 500)])",0.7559306920465685,0.7814798855230858,0.7646607720102729,0.772429788707861,0.7731699177482309,0.7695342112072039,0.008638379583415585,89
